Rubro;Nombre;Costo;Pre.;%G1.;Pre2;%G2.;Cod.;Stock;Mod.
COCA COLA;AQUARIUS MANZANA 1.5 CM3;293,33;360;22,73;2030;15,34;7,7909E+12;64909;25/02/2023
COCA COLA;AQUARIUS NARANJA 1.5 CM3;293,33;360;22,73;2030;15,34;7,7909E+12;65382;25/02/2023
PALACIO;BOTELLITAS LICORITAS FELFORT;71,56;100;39,74;0;0;7,79021E+12;944;04/08/2022
Cofico;CERVEZA SCC CRYSTAL IPA LATA 473cc;1;130;12900;6,72;12;3216;94;16/07/2020
ARCOR;CONFITES ROCKLETS 40G;130,25;180;38,2;0;0;7,79058E+12;289;20/01/2023
Promos;SERNOVA CLAS + 4 RED BULL 250cc;1996,16;2426;0;0;0;3126;0;10/02/2023
Promos;0;607;728;0;0;0;3072;0;18/01/2023
Promos;0;1212,12;1440;0;0;0;3274;0;25/01/2023
ANALGESICOS;0BLUNT WRAP STRAWBERRY;275;400;45,45;1848;12;6,44536E+11;999;17/02/2023
HUACHANA MARTIN;0PAPEL ALUMINIO NARGUILE AZUL;135;170;25,93;907,2;12;3256;6;01/07/2020
BARRICA BEBIDAS;2 NOVECENTO + 2 SPEED XL;1325;1610;0;0;0;3434;0;24/02/2023
Promos;2 RENA + 2 SPEED GRANDES;1330;1600;0;0;0;2317;0;24/02/2023
LAYS;3D 122G;26,92;35;30;0;0;7,79031E+12;997;
BRINDAR OTROS;3D MEGA QUESO 105 GR;74,17;100;34,83;498;12;7,79031E+12;45;29/10/2020
BARRICA BEBIDAS;3D MEGA QUESO 150 GR;150,51;190;26,24;1011;12;7,79031E+12;96;13/05/2021
BRINDAR OTROS;3D MEGA QUESO 48 GR;46,1;60;30,15;310;12;7,79031E+12;957;29/10/2020
LAYS;3D MEGATUBE QUESO 25G;23,07;30;30,04;0;0;7,79031E+12;922;02/10/2019
LAYS;3D MEGATUBE QUESO 29 GR;15,83;20;26;0;0;7,79031E+12;988;19/07/2018
