Rubro;Nombre;Costo;Pre.;Ganancia;Pre pack;Ganancia pack.;01/01/2001;01/02/2001;01/03/2001;01/04/2001;Precio pack;01/05/2001;02/05/2001;03/05/2001;04/05/2001;01/01/2001;01/02/2001;01/03/2001;01/04/2001;Codigo pack;Cant. pack;Stock Minimo;Cod.;Stock;Mod.
SORBETES;###############################################################################################################################################################################################################################################################;400;1000;150;650;62,5;30;40;20;0;650;520;560;480;400;520;560;480;400;187000;1;5;2005;-1;04/02/2024
PLATOS POTES CUBIERTOS;AGITADORES CAFE X 1000 UNID.;4170;8800;111,03;6700;60,67;29,98;40,29;20;0;6700;5420;5850;5004;4170;5420;5850;5004;4170;118000;1;5;1170;3;04/02/2024
PLATOS POTES CUBIERTOS;AGITADORES T.LARGO X100;2050;4500;119,51;3300;60,98;29,27;41,46;20;0;3300;2650;2900;2460;2050;2650;2900;2460;2050;117000;1;50;117;0;04/02/2024
FILM ALUMINIO FOLEX;ALUMINIO FAMILIAR X 5 MTS;558;1500;168,82;900;61,29;30;43,37;20;0;900;725;800;670;558;725;800;670;558;57000;1;50;1140;-8;04/02/2024
FILM ALUMINIO FOLEX;ALUMINIO X 1KG;5345;11500;115,15;8600;60,9;30,03;39,94;20;0;8600;6950;7480;6414;5345;6950;7480;6414;5345;56000;1;50;1141;76;04/02/2024
BANDEJAS CARTÖN;01/04/2001;297;630;112,12;4800;61,62;29,63;39,73;20;0;480;385;415;356;297;3850;4150;3564;2970;207000;10;100;1029;59;04/02/2024
BANDEJAS CARTÖN;01/05/2001;460;970;110,87;7400;60,87;30,43;40,22;20;0;740;600;645;552;460;6000;6450;5520;4600;208000;10;100;1030;40;04/02/2024
BANDEJAS CARTÖN;01/03/2001;213;450;111,27;3400;59,62;29,11;40;20;0;340;275;298;256;213;2750;2982;2556;2130;206000;10;100;1031;49;04/02/2024
Tergopol;###############################################################################################################################################################################################################################################################;75;180;140;12000;60;33,33;46,67;20;0;120;100;110;90;75;10000;11000;9000;7500;80000;100;100;1056;380;04/02/2024
BANDEJAS TERGOPOL;###############################################################################################################################################################################################################################################################;32;70;118,75;5000;56,25;25;40;20;0;50;40;45;38;32;4000;4480;3840;3200;81000;100;100;1057;-1;04/02/2024
BANDEJAS TERGOPOL;###############################################################################################################################################################################################################################################################;51;110;115,69;8500;66,67;27,45;37,25;20;0;85;65;70;61;51;6500;7000;6120;5100;82000;100;100;1058;1520;04/02/2024
BANDEJAS TERGOPOL;###############################################################################################################################################################################################################################################################;76;160;110;13000;71,05;31,58;38,16;20;0;130;100;105;91;76;10000;10500;9120;7600;83000;100;100;1059;0;04/02/2024
BANDEJAS TERGOPOL;###############################################################################################################################################################################################################################################################;105;220;109,52;17000;61,9;28,57;42,86;20;0;170;135;150;126;105;13500;15000;12600;10500;84000;100;100;1060;1200;04/02/2024
BANDEJAS TERGOPOL;###############################################################################################################################################################################################################################################################;154;320;107,79;25000;62,34;30;39,61;20;0;250;200;215;185;154;20020;21500;18480;15400;85000;100;100;1061;774;04/02/2024
BANDEJAS CARTÖN;BANDE CARTON BCA N 13;24;50;110;4000;66,67;25;45,83;25;0;40;30;35;30;24;3000;3500;3000;2400;79000;100;100;1032;1286;04/02/2024
BANDEJAS CARTÖN;BANDE CARTON BCA N 15;40;90;125;3250;62,5;37,5;50;25;0;65;55;60;50;40;2750;3000;2500;2000;240000;50;100;1033;146;04/02/2024
BANDEJAS ALUMINIO;BANDEJA ALUMINIO F100;115;250;117,39;18500;60,87;30;39,13;20;0;185;150;160;138;115;14950;16000;13800;11500;89000;100;100;1001;887;04/02/2024
BANDEJAS ALUMINIO;BANDEJA ALUMINIO P 21;72;150;108,33;11520;60;31,94;38,89;20;0;115;95;100;86;72;9500;10000;8640;7200;305000;100;100;1002;178;04/02/2024
BANDEJAS ALUMINIO;BANDEJA ALUMINIO P30;155;325;109,68;250;61,29;29,03;41,94;20;0;250;200;220;186;155;200;220;186;155;158000;1;50;1003;347;04/02/2024
BANDEJAS CARTÖN;01/02/2001;9;19;110;1440;60;33,33;40;20;0;14;12;13;11;9;1200;1260;1080;900;76000;100;10000;1034;5349;04/02/2024
BANDEJAS DPM;BANDEJAS 101 PP COTNYL;55;120;118,18;9000;63,64;36,36;45,45;20;0;90;75;80;66;55;7500;8000;6600;5500;70000;100;5000;1049;7590;04/02/2024
BANDEJAS DPM;BANDEJAS 102 COTNYL;52;110;111,54;8500;63,46;34,62;44,23;20;0;85;70;75;62;52;7000;7500;6240;5200;306000;100;100;306;1100;04/02/2024
BANDEJAS DPM;BANDEJAS 102 PP;35;75;114,29;6000;71,43;28,57;42,86;20;0;60;45;50;42;35;4500;5000;4200;3500;66000;100;1000;1050;-15;04/02/2024
BANDEJAS DPM;BANDEJAS 103 PP;53;110;107,55;8480;60;32,08;41,51;20;0;85;70;75;64;53;7000;7500;6360;5300;67000;100;20000;1051;26125;04/02/2024
BANDEJAS C/TAPAS MICRO;BANDEJAS 103 PP COTNYL;58;125;115,52;9500;63,79;30;37,93;20;0;95;75;80;70;58;7540;8000;6960;5800;292000;100;100;1004;698;04/02/2024
BANDEJAS DPM;BANDEJAS 103 PP LIVIANA;30;65;116,67;5000;66,67;33,33;50;20;0;50;40;45;36;30;4000;4500;3600;3000;5252;100;500;1005;0;04/02/2024
BANDEJAS DPM;BANDEJAS 105 PP;68;140;105,88;11000;61,76;25;40;20;0;110;85;95;82;68;8500;9520;8160;6800;68000;100;10000;1052;49856;04/02/2024
BANDEJAS ALUMINIO;BANDEJAS 105 PP LIVIANA;35;80;128,57;5500;57,14;28,57;40;20;0;55;45;49;42;35;4500;4900;4200;3500;5253;100;1000;1006;0;04/02/2024
BANDEJAS C/TAPAS MICRO;BANDEJAS 105 REC. PP COTNYL;104;220;111,54;17000;63,46;30;44,23;20;0;170;135;150;125;104;13520;15000;12480;10400;73000;100;100;1026;340;04/02/2024
BANDEJAS DPM;BANDEJAS 107 PP;119;250;110,08;19040;60;30;42,86;20;0;190;155;170;143;119;15470;17000;14280;11900;69000;100;1000;1053;0;04/02/2024
FILM ALUMINIO FOLEX;BANDEJAS ALUMINIO F200;237;500;110,97;400;68,78;30,8;47,68;20;0;400;310;350;284;237;310;350;284;237;2059000;1;100;2059;300;04/02/2024
BANDEJAS ALUMINIO;BANDEJAS ALUMINIO F50;75;160;113,33;6000;60;33,33;40;20;0;120;100;105;90;75;5000;5250;4500;3750;268000;50;100;1054;476;04/02/2024
BANDEJAS ALUMINIO;BANDEJAS ALUMINIO P12;20;45;125;350;75;25;50;20;0;35;25;30;24;20;250;300;240;200;269000;10;100;1055;494;04/02/2024
BANDEJAS ALUMINIO;BANDEJAS ALUMINIO P15;45;95;110;3750;66,67;33,33;33,33;20;0;75;60;60;54;45;3000;3000;2700;2250;270000;50;100;1007;0;04/02/2024
BANDEJAS ALUMINIO;BANDEJAS ALUMINIO P28;108;225;108,33;8750;62,04;30;38,89;20;0;175;140;150;130;108;7020;7500;6480;5400;201000;50;100;1008;8;04/02/2024
BANDEJAS CARTÖN;01/01/2001;7;15;110;1120;60;28,57;40;20;0;11;9;10;8;7;900;980;840;700;75000;100;10000;1035;1284;04/02/2024
BANDEJAS CARTÖN;01/03/2001;11;23;110;1760;60;36,36;40;20;0;18;15;15;13;11;1500;1540;1320;1100;77000;100;5000;1036;249;04/02/2024
BANDEJAS CARTÖN;01/04/2001;14;30;114,29;2240;60;42,86;40;20;0;22;20;20;17;14;2000;1960;1680;1400;78000;100;100;1037;899;04/02/2024
BANDEJAS CARTÖN;01/05/2001;16;40;150;2500;56,25;25;40;20;0;25;20;22;19;16;2000;2240;1920;1600;288000;100;100;1038;0;04/02/2024
BANDEJAS CARTÖN;01/12/2001;19;40;110;1520;60;30;40;20;0;30;25;27;23;19;1235;1330;1140;950;238000;50;500;1039;299;04/02/2024
