Rubro;Nombre;Costo;Pre.;%G1.;Pre2;%G2.;Cod.;Stock;Mod.
COCA COLA;AQUARIUS MANZANA 1.5 CM3;293,33;360;22,73;2030;15,34;7790895640483;64908;25/02/2023
COCA COLA;AQUARIUS NARANJA 1.5 CM3;293,33;360;22,73;2030;15,34;7790895641237;65378;25/02/2023
PALACIO;BOTELLITAS LICORITAS FELFORT;71,56;100;39,74;0;0;7790206007301;943;04/08/2022
Cofico;CERVEZA SCC CRYSTAL IPA LATA 473cc;1;130;12900;6,72;12;3216;94;16/07/2020
ARCOR;CONFITES ROCKLETS 40G;130,25;180;38,2;0;0;7790580327415;286;20/01/2023
Promos;SERNOVA CLAS + 4 RED BULL 250cc;2329,32;2800;0;0;0;3126;0;28/03/2023
Promos;0;607;728;0;0;0;3072;0;18/01/2023
Promos;0;1356,24;1614;0;0;0;3274;0;08/03/2023
ANALGESICOS;0BLUNT WRAP STRAWBERRY;275;400;45,45;1848;12;644536226017;999;17/02/2023
HUACHANA MARTIN;0PAPEL ALUMINIO NARGUILE AZUL;135;170;25,93;907,2;12;3256;6;01/07/2020
BARRICA BEBIDAS;2 NOVECENTO + 2 SPEED XL;2387,66;2900;0;0;0;3434;0;31/03/2023
Promos;2 RENA + 2 SPEED GRANDES;1524,98;1850;0;0;0;2317;0;31/03/2023
LAYS;3D 122G;26,92;35;30;0;0;7790310005804;997;
BRINDAR OTROS;3D MEGA QUESO 105 GR;74,17;100;34,83;498;12;7790310982389;45;29/10/2020
BARRICA BEBIDAS;3D MEGA QUESO 150 GR;150,51;190;26,24;1011;12;7790310983492;96;13/05/2021
BRINDAR OTROS;3D MEGA QUESO 48 GR;46,1;60;30,15;310;12;7790310005415;957;29/10/2020
LAYS;3D MEGATUBE QUESO 25G;23,07;30;30,04;0;0;7790310981580;922;02/10/2019
LAYS;3D MEGATUBE QUESO 29 GR;15,83;20;26;0;0;7790310005408;988;19/07/2018
LAYS;3D MEGATUBE QUESO 56 GR.;23,76;30;26;0;0;7790310981597;81;05/09/2018
LAYS;3D MEGATUBE QUESO X66G;23,76;30;26;0;0;7790310006764;45;19/07/2018
BRINDAR OTROS;3D QUESO 43 GR;230,77;300;29,99;1551;12;7790310985113;982;29/03/2023
BRINDAR OTROS;3D QUESO 47 GR.;138,46;180;30;953;14,77;7790310984253;9963;06/10/2022
BRINDAR OTROS;3D QUESO 92 GR.;430,77;560;30;2895;12;7790310985120;944;29/03/2023
PEPSI;7 UP RETORNABLE 2 L.;300,76;360;19,7;2760;14,71;7791813777007;597;24/03/2023
PEPSI;7 UP SEVEN 2.25LT;447;540;20,76;4100;14,65;7791813777052;65150;24/03/2023
PEPSI;7 UP SIN AZUCAR 2,25 L.;447;540;20,76;3100;15,59;7791813900115;981;24/03/2023
PEPSI;7UP LIMONADA 2.25;121;150;23,97;1113;15;7791813423034;980;24/07/2020
BARRICA BEBIDAS;ABSENTA TOUR TURNE;480;575;19;0;0;7798167920172;0;02/11/2018
SAN JUAN;ABSOLUT CLASICO;3840;4900;27,6;4500;17,19;7312040017010;4696;20/12/2022
IL DOCTORE;ABSOLUT CLASICO 500 ML;1365;1700;24,54;9000;9,89;7312040017072;97;17/06/2022
OSOLA;ABSOLUT ED. LIMITADA;1370;1700;24,09;1580;15,33;7312040552030;94;29/01/2021
OSOLA;ABSOLUT ESTIRILLA;1309,53;1630;24,47;8642,88;10;792410509336;8;12/09/2020
OSOLA;ABSOLUT EXTRAKT;4400;5500;25;5100;15,91;7312040551798;65504;20/12/2022
SAN JUAN;ABSOLUT GRAPEFRUIT;4400;5500;25;30600;15,91;7312040552160;971;20/12/2022
OSOLA;ABSOLUT LIME;4400;5500;25;5100;15,91;7312040551675;307;20/12/2022
Promos;ABSOLUT SAB + REAKTOR 1.5 L.;4770,37;5800;0;0;0;3400;0;12/01/2023
ALMACEN;ACEITE GIRASOL CAÑUELAS 1.5 L;110,65;140;26,53;743,57;12;7792180001665;99;07/04/2020
BARRICA BEBIDAS;ACEITE MYTHOS;700;850;21,43;770;10;3464;99;10/02/2022
ACONCAGUA;ACONCAGUA AZUL BOTELLA 355 ML;433,33;600;38,46;1000;15,39;736373864498;685;10/03/2023
ACONCAGUA;ACONCAGUA LATA ALUMINIO;1200;1600;33,33;2800;16,67;749350080316;910;02/03/2023
ACONCAGUA;ACONCAGUA MINI 50 ML;450;550;22,22;3150;16,67;783970981042;990;20/01/2023
ALMACEN;ACONDICIONADOR PANTENE LISO Y SEDOSO 200 ML;125,31;170;35,66;842,08;12;7500435012508;100;01/04/2020
ANALGESICOS;ACTRON 400 mg;25;40;60;168;12;3041;9831;02/08/2022
ANALGESICOS;ACTRON 600 MG;80;100;25;0;0;13;544;06/02/2023
ANALGESICOS;ACTRON MUJER;25;50;100;168;12;3369;1077;29/03/2023
COCA COLA;ADES 1 L MANZANA;282;350;24,11;2550;13,03;2297;586;18/03/2023
ARCOR;ADES DURAZNO X 1 L;123,2;154;25;1144;16,07;7794000792500;175;21/07/2022
PEJINAKIS;ADES MANZANA SOY FORCE X 1 LT;54;65;20,37;496,8;15;7794000792517;65267;29/07/2019
PEJINAKIS;ADES NARANJA X 1 LITRO;75;90;19,37;690;15;7794000792494;719;01/05/2020
PEJINAKIS;ADES SOY FORCE FRUTAS TROPICALES X 1L;54;65;20,37;496,8;15;7794000791886;50;29/07/2019
COCA COLA;AGUA  KIN SIN GAS 2 L;67;80;19,4;450;11,94;7790895000119;668;07/07/2021
PEJINAKIS;AGUA .LEVITE FRUTA TROPICAL X 2.25 L;107,13;130;21,35;739;15;7798062540734;159;26/09/2019
PEPSI;AGUA AWAFRUT NARANJA DURAZNO 2.25 L;88,5;110;24,29;600;12,99;7795930000482;985;31/07/2021
