Rubro;Nombre;Costo;Pre.;%G1.;Pre2;%G2.;Cod.;Stock;Mod.
SORBETES;-657433,9626;200;500;150;224;12;2005;-1;20/11/2023
PLATOS POTES CUBIERTOS;AGITADORES CAFE X 1000 UNID.;4170;9400;125,42;8900;113,43;1170;3;27/12/2023
PLATOS POTES CUBIERTOS;AGITADORES T.LARGO X100;1440;3200;122,22;2900;101,39;117;0;27/12/2023
FILM ALUMINIO FOLEX;ALUMINIO FAMILIAR X 5 MTS;248;900;262,9;800;222,58;1140;72;03/01/2024
FILM ALUMINIO FOLEX;ALUMINIO X 1KG;4860;10600;118,11;9600;97,53;1141;135;03/01/2024
BANDEJAS CARTÖN;36982;297;650;118,86;5500;85,19;1029;63;01/12/2023
BANDEJAS CARTÖN;37012;460;1000;117,39;9000;95,65;1030;37;01/12/2023
BANDEJAS CARTÖN;36951;213;450;111,27;4000;87,79;1031;51;01/12/2023
TERGOPOL;-469334,9626;27;59;120;5400;100;1056;390;20/11/2023
BANDEJAS TERGOPOL;-468603,9626;32;70;120;6000;87,5;1057;0;13/12/2023
BANDEJAS TERGOPOL;-468238,9626;51;115;125,49;63000;105,88;1058;1520;27/12/2023
BANDEJAS TERGOPOL;-467873,9626;76;170;123,68;15000;97,37;1059;0;27/12/2023
BANDEJAS TERGOPOL;-465681,9626;105;230;119,05;22000;109,52;1060;1200;27/12/2023
BANDEJAS TERGOPOL;-464586,9626;16;40;150;7000;118,75;1061;339;27/12/2023
BANDEJAS CARTÖN;BANDE CARTON BCA N 13;22;48;120;4400;100;1032;1238;23/11/2023
BANDEJAS CARTÖN;BANDE CARTON BCA N 15;36;79;120;3600;100;1033;116;23/11/2023
BANDEJAS ALUMINIO;BANDEJA ALUMINIO F100;73;160;119,18;14000;91,78;1001;881;07/12/2023
BANDEJAS ALUMINIO;BANDEJA ALUMINIO P 21;50;110;120;9500;90;1002;174;04/12/2023
BANDEJAS ALUMINIO;BANDEJA ALUMINIO P30;26;57;120;52;100;1003;347;07/12/2023
BANDEJAS CARTÖN;36923;9;20;120;1800;100;1034;3249;15/12/2023
BANDEJAS DPM;BANDEJAS 101 PP COTNYL;22;50;127,27;4500;104,55;1049;6415;27/12/2023
BANDEJAS DPM;BANDEJAS 102 COTNYL;52;110;111,54;10000;92,31;306;1100;04/12/2023
BANDEJAS DPM;BANDEJAS 102 PP;35;80;128,57;7000;100;1050;-65;14/12/2023
BANDEJAS DPM;BANDEJAS 103 PP;53;120;126,42;10500;98,11;1051;22515;14/12/2023
BANDEJAS C/TAPAS MICRO;BANDEJAS 103 PP COTNYL;58;129;123,22;11600;100;1004;698;04/12/2023
BANDEJAS DPM;BANDEJAS 103 PP LIVIANA;30;66;120;6000;100;1005;0;09/11/2023
BANDEJAS DPM;BANDEJAS 105 PP;72;160;122,22;14500;101,39;1052;42759;16/12/2023
BANDEJAS ALUMINIO;BANDEJAS 105 PP LIVIANA;35;77;120;7000;100;1006;0;09/11/2023
BANDEJAS C/TAPAS MICRO;BANDEJAS 105 REC. PP COTNYL;104;234;125;20800;100;1026;340;04/12/2023
BANDEJAS DPM;BANDEJAS 107 PP;119;270;126,89;25000;110,08;1053;0;14/12/2023
FILM ALUMINIO FOLEX;BANDEJAS ALUMINIO F200;88;180;104,55;8499,92;93,18;2059;293;08/12/2023
BANDEJAS ALUMINIO;BANDEJAS ALUMINIO F50;75;160;113,33;7500;100;1054;476;13/12/2023
BANDEJAS ALUMINIO;BANDEJAS ALUMINIO P14;21;46;120;420;100;1055;404;20/11/2023
BANDEJAS ALUMINIO;BANDEJAS ALUMINIO P15;45;90;100;495;83,33;1007;0;04/12/2023
BANDEJAS ALUMINIO;BANDEJAS ALUMINIO P28;30;66;120;3000;100;1008;2;20/11/2023
BANDEJAS CARTÖN;36892;7;15;120;1300;85,71;1035;734;15/12/2023
BANDEJAS CARTÖN;36951;11;25;127,27;2000;81,82;1036;24;15/12/2023
BANDEJAS CARTÖN;36982;14;30;114,29;336;100;1037;399;15/12/2023
BANDEJAS CARTÖN;37012;16;35;120;180;87,5;1038;0;15/12/2023
BANDEJAS CARTÖN;37226;17;37;120;1700;100;1039;299;27/11/2023
BANDEJAS CARTÖN;BANDEJAS CARTON REDONDA N 14;33;73;120;3300;100;1040;294;23/11/2023
BANDEJAS ALUMINIO;-654877,9626;120;264;120;25200;110;312;-202;04/12/2023
SORBETES;BENGALAS;200;440;120;400;100;1009;21;20/11/2023
BOLSAS BOBINA;BOB ARRANQ. 35X45X1,2KG;3350;7200;114,93;6700;100;1064;11;26/12/2023
BOLSAS BOBINA;BOB. ARRANQ. 20X30X1,2KG;3350;7200;114,93;6800;102,99;1065;141;26/12/2023
BOLSAS BOBINA;BOB. ARRANQ. 25X35 1,2KG;3350;7200;114,93;6800;102,99;1066;262;26/12/2023
BOLSAS BOBINA;BOB. ARRANQ. 30X40X1,2KG;3350;7200;114,93;6800;102,99;1067;26;26/12/2023
BOLSAS BOBINA;BOB. ARRANQ. 50X701,2KG;3350;7200;114,93;6800;102,99;1068;198;26/12/2023
BOLSAS BOBINA;BOB. ARRANQUE 60X90X1,2KG;3350;7200;114,93;6800;102,99;1069;0;26/12/2023
TOALLAS HIGIENICOS PAPEL INDUST;BOB. INDUSTRIAL KING PACK X 25cmX400mts Bca;7160;15500;116,48;29600;106,7;2012;147;02/01/2024
PAPELES;BOB. PAPEL GRIS X 60CM (12,500)KG;11000;23000;109,09;21100;91,82;1159;6;15/12/2023
BOLSAS BOBINA;BOB.ARRANQ 40X60X1,2 KG;3350;7200;114,93;6800;102,99;1070;50;26/12/2023
BOLSAS BOBINA;BOBINA 15X25X400GR;802;1750;118,2;1600;99,5;1071;-23;11/12/2023
