NombrePromocion;CodigoPromocion;NombreIngrediente;CodigoIngrediente;Costo;Ganancia.;Precio;Cantidad
test;4381;AQUARIUS NARANJA 1.5 CM3;7790895641237;293,33;23;361;1
test;4381;BOTELLITAS LICORITAS FELFORT;7790206007301;71,56;40;100;1
test;4381;AQUARIUS NARANJA 1.5 CM3;7790895641237;293,33;23;361;1
"Branca Menta 750 oferta ""NO VENDER""";3462;AQUARIUS MANZANA 1.5 CM3;7790895640483;293,33;23;361;1
FERNET BRANCA 750 + COCA COLA 3L + HIELO X1200 COMBO BRANCA;2300;FERNET BRANCA 750CC unico;7790290101602;638;30,2507837;831;1
FERNET BRANCA 750 + COCA COLA 3L + HIELO X1200 COMBO BRANCA;2300;COCA COLA 3 LT;7790895006418;258,33;11,72722006;289;1
FERNET BRANCA 750 + COCA COLA 3L + HIELO X1200 COMBO BRANCA;2300;HIELO 3 KG MILENIUM;2299;63;26,98412698;80;1
FERNET BRANCA 1 LITRO + COCA COLA 3L + HIELO X1460 COMBO BRANCA;2301;FERNET BRANCA 1LT unico;7790290000523;923,65;19,09272993;1100;1
FERNET BRANCA 1 LITRO + COCA COLA 3L + HIELO X1460 COMBO BRANCA;2301;COCA COLA 3 LT;7790895006418;258,33;8,388495335;280;1
FERNET BRANCA 1 LITRO + COCA COLA 3L + HIELO X1460 COMBO BRANCA;2301;HIELO 3 KG MILENIUM;2299;63;26,98412698;80;1
SMIRNOFF SAB + CEPITA 1.5 LITROS combo smirnoff;2302;VODKA SMIRNOFF MANZANA 700CC;7791250001857;759;19,89459816;910;1
SMIRNOFF SAB + CEPITA 1.5 LITROS combo smirnoff;2302;JUGO CEPITA NARANJA  X 1.5 L;7790895641800;176;19,31818182;210;1
DR LEMON  2 OFERTA PROMO;2303;DR LEMON VODKA 1LT;7790950131918;212,78;22,22222222;260;2
PROMO CHACABUCO X 3 VIOG+MALB+DULCE;3276;VINO CHACABUCO DULCE NATURAL;7791843013441;550;21,21212121;667;1
PROMO CHACABUCO X 3 VIOG+MALB+DULCE;3276;VINO CHACABUCO MALBEC;7791843011393;310;21,21212121;376;1
SMIRNOFF + 3 REAKTOR 500cc;3235;ENERGIZANTE REAKTOR X 500 ML;7795176771542;87,5;14,28571429;100;3
SMIRNOFF + 3 REAKTOR 500cc;3235;VODKA SMIRNOFF MANZANA 700CC;7791250001857;759;19,89459816;910;1
FERNET LITRO - COCA 2.25 - HIELO 3KG X640;3255;FERNET BRANCA 1LT unico;7790290000523;923,65;19,25428334;1101;1
FERNET LITRO - COCA 2.25 - HIELO 3KG X640;3255;COCA COLA 2.25 L;7790895000997;234,66;20;282;1
0;3274;CERVEZA BRAHMA LATA 473 CC;7792798005888;110,54;19,02857143;132;6
PROMO ONLINE BRAHAMA 3 L X $200;3273;CERVEZA BRAHMA 1L;7792798007493;235,34;14,94827586;271;3
SMIRNOFF + 3 SPEED GRANDES combo smirnoff;2309;VODKA SMIRNOFF MANZANA 700CC;7791250001857;759;19,89459816;910;1
SMIRNOFF + 3 SPEED GRANDES combo smirnoff;2309;ENERGIZANTE SPEED 473 ML;7798119220183;137;16,78832117;160;3
PROMO CHACABUCO X 3 VIOG+MALB+DULCE;3276;VINO CHACABUCO VIOGNER;7791843011881;100;21,21212121;121;1
Brahma CAJON Promo semanal;3278;CERVEZA BRAHMA 1L;7792798007493;235,34;11,02402821;261;12
CARPANO BIANCO + SPRITE 1.5 PROMO;3504;SPRITE 1.5 LITROS PLASTICO;7790895000447;184,37;13,90139394;210;1
01/02/2001;2313;VINO QUARA MALBEC;7791690709030;240;25;300;1
01/02/2001;2313;VINO QUARA CABERNET SUAV;7791690709078;240;25;300;1
FERNET BRANCA 750 + COCA  1.5 L COMBO BRANCA;2314;FERNET BRANCA 750CC unico;7790290101602;638;22,42847875;781;1
FERNET BRANCA 750 + COCA  1.5 L COMBO BRANCA;2314;COCA COLA PLASTICO 1.5 LT;7790895000430;163,33;16,47606946;190;1
FERNET BRANCA 450 + COCA COLA 1.5 L COMBO BRANCA;2315;FERNET BRANCA 450CC unico;7790290001179;373;18,05965485;440;1
FERNET BRANCA 450 + COCA COLA 1.5 L COMBO BRANCA;2315;COCA COLA PLASTICO 1.5 LT;7790895000430;163,33;14,00456018;186;1
CAMPARI 750CC + CEPITA 1.5;2316;APERITIVO CAMPARI X750CC;7891136052000;741,12;20,08851468;890;1
CAMPARI 750CC + CEPITA 1.5;2316;JUGO CEPITA NARANJA  X 1.5 L;7790895641800;176;19,31818182;210;1
2 RENA + 2 SPEED GRANDES;2317;CHAMPAGNE RENAISSANCE;7798167890017;263,33;23,41928379;325;2
2 RENA + 2 SPEED GRANDES;2317;ENERGIZANTE SPEED 473 ML;7798119220183;137;24,08759124;170;2
CARPANO X 2 OFERTA;2318;VERMOUTH CARPANO ROSSO X950CC;7790290008192;170;47,05882353;250;2
